[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Loading dataset:   3%|████▎                                                                                                                                                     | 13/465 [00:00<00:03, 125.70it/s]
GPU ID:  0

Loading dataset: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 465/465 [00:03<00:00, 123.03it/s]

Loading dataset:  85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎                      | 396/465 [00:02<00:00, 163.51it/s]
eta: 0:11:20  epoch: 1  step: 1001  rgb_loss: 0.1306  depth_loss: 0.0507  joint_loss: 0.0767  cross_entropy_loss: 0.8593  eikonal_loss: 0.0747  loss: 0.6223  beta: 0.0413  theta: 0.0000  data: 0.0163  batch: 0.6814  lr: 0.000477  max_mem: 9152
eta: 0:12:29  epoch: 1  step: 1020  rgb_loss: 0.1451  depth_loss: 0.1014  joint_loss: 0.2268  cross_entropy_loss: 0.8196  eikonal_loss: 0.1002  loss: 0.6777  beta: 0.0412  theta: -0.0028  data: 0.0170  batch: 0.7646  lr: 0.000477  max_mem: 9191
eta: 0:12:28  epoch: 1  step: 1021  rgb_loss: 0.1497  depth_loss: 0.1029  joint_loss: 0.2305  cross_entropy_loss: 0.8192  eikonal_loss: 0.0996  loss: 0.6836  beta: 0.0412  theta: -0.0031  data: 0.0183  batch: 0.7687  lr: 0.000477  max_mem: 9191
eta: 0:12:24  epoch: 1  step: 1022  rgb_loss: 0.1509  depth_loss: 0.1031  joint_loss: 0.2264  cross_entropy_loss: 0.8215  eikonal_loss: 0.0930  loss: 0.6854  beta: 0.0412  theta: -0.0033  data: 0.0189  batch: 0.7708  lr: 0.000477  max_mem: 9191
eta: 0:13:06  epoch: 1  step: 1023  rgb_loss: 0.1453  depth_loss: 0.1054  joint_loss: 0.2260  cross_entropy_loss: 0.8212  eikonal_loss: 0.0908  loss: 0.6817  beta: 0.0412  theta: -0.0035  data: 0.0202  batch: 0.8282  lr: 0.000477  max_mem: 9191
eta: 0:12:59  epoch: 1  step: 1024  rgb_loss: 0.1470  depth_loss: 0.1032  joint_loss: 0.2373  cross_entropy_loss: 0.8207  eikonal_loss: 0.0902  loss: 0.6814  beta: 0.0412  theta: -0.0038  data: 0.0208  batch: 0.8291  lr: 0.000477  max_mem: 9191
eta: 0:12:52  epoch: 1  step: 1025  rgb_loss: 0.1449  depth_loss: 0.1022  joint_loss: 0.2342  cross_entropy_loss: 0.8072  eikonal_loss: 0.0969  loss: 0.6721  beta: 0.0412  theta: -0.0040  data: 0.0208  batch: 0.8290  lr: 0.000477  max_mem: 9191
eta: 0:12:45  epoch: 1  step: 1026  rgb_loss: 0.1448  depth_loss: 0.0995  joint_loss: 0.2450  cross_entropy_loss: 0.8040  eikonal_loss: 0.0952  loss: 0.6681  beta: 0.0412  theta: -0.0042  data: 0.0209  batch: 0.8291  lr: 0.000477  max_mem: 9191
eta: 0:12:39  epoch: 1  step: 1027  rgb_loss: 0.1416  depth_loss: 0.0953  joint_loss: 0.2553  cross_entropy_loss: 0.8156  eikonal_loss: 0.0964  loss: 0.6671  beta: 0.0412  theta: -0.0044  data: 0.0209  batch: 0.8292  lr: 0.000477  max_mem: 9191
eta: 0:12:33  epoch: 1  step: 1028  rgb_loss: 0.1422  depth_loss: 0.0907  joint_loss: 0.2617  cross_entropy_loss: 0.8250  eikonal_loss: 0.1025  loss: 0.6687  beta: 0.0411  theta: -0.0046  data: 0.0208  batch: 0.8292  lr: 0.000477  max_mem: 9191
eta: 0:12:27  epoch: 1  step: 1029  rgb_loss: 0.1395  depth_loss: 0.0930  joint_loss: 0.2723  cross_entropy_loss: 0.8182  eikonal_loss: 0.1155  loss: 0.6668  beta: 0.0411  theta: -0.0047  data: 0.0208  batch: 0.8291  lr: 0.000477  max_mem: 9191
